time,H_sun,T2m
2021-01-01 00:00:00,0.0,-0.21
2021-01-01 01:00:00,0.0,-0.44
2021-01-01 02:00:00,0.0,-0.48
2021-01-01 03:00:00,0.0,-0.47
2021-01-01 04:00:00,0.0,-0.5
2021-01-01 05:00:00,0.0,-0.5
2021-01-01 06:00:00,0.0,-0.52
2021-01-01 07:00:00,0.0,-1.56
2021-01-01 08:00:00,2.52,-1.32
2021-01-01 09:00:00,9.19,-0.14
2021-01-01 10:00:00,14.15,1.02
2021-01-01 11:00:00,16.99,2.15
2021-01-01 12:00:00,17.45,2.7
2021-01-01 13:00:00,15.48,2.9
2021-01-01 14:00:00,11.27,3.01
2021-01-01 15:00:00,5.19,3.08
2021-01-01 16:00:00,0.0,2.85
2021-01-01 17:00:00,0.0,2.36
2021-01-01 18:00:00,0.0,2.04
2021-01-01 19:00:00,0.0,-0.11
2021-01-01 20:00:00,0.0,-0.74
2021-01-01 21:00:00,0.0,-1.05
2021-01-01 22:00:00,0.0,-1.11
2021-01-01 23:00:00,0.0,-0.76
2021-01-02 00:00:00,0.0,-0.18
2021-01-02 01:00:00,0.0,0.0
2021-01-02 02:00:00,0.0,-0.41
2021-01-02 03:00:00,0.0,-0.95
2021-01-02 04:00:00,0.0,-1.32
2021-01-02 05:00:00,0.0,-1.55
2021-01-02 06:00:00,0.0,-1.78
2021-01-02 07:00:00,0.0,-3.05
2021-01-02 08:00:00,2.53,-3.34
2021-01-02 09:00:00,9.23,-1.73
2021-01-02 10:00:00,14.2,0.3
2021-01-02 11:00:00,17.07,1.79
2021-01-02 12:00:00,17.54,2.39
2021-01-02 13:00:00,15.59,2.89
2021-01-02 14:00:00,11.39,2.91
2021-01-02 15:00:00,5.32,2.75
2021-01-02 16:00:00,0.0,2.4
2021-01-02 17:00:00,0.0,1.81
2021-01-02 18:00:00,0.0,1.58
2021-01-02 19:00:00,0.0,2.0
2021-01-02 20:00:00,0.0,1.84
2021-01-02 21:00:00,0.0,1.65
2021-01-02 22:00:00,0.0,1.64
2021-01-02 23:00:00,0.0,1.64
2021-01-03 00:00:00,0.0,1.93
2021-01-03 01:00:00,0.0,2.08
2021-01-03 02:00:00,0.0,2.18
2021-01-03 03:00:00,0.0,2.05
2021-01-03 04:00:00,0.0,2.03
2021-01-03 05:00:00,0.0,1.93
2021-01-03 06:00:00,0.0,1.85
2021-01-03 07:00:00,0.0,1.67
2021-01-03 08:00:00,2.56,1.39
2021-01-03 09:00:00,9.27,1.65
2021-01-03 10:00:00,14.26,2.21
2021-01-03 11:00:00,17.15,3.03
2021-01-03 12:00:00,17.64,3.28
2021-01-03 13:00:00,15.7,3.42
2021-01-03 14:00:00,11.52,3.37
2021-01-03 15:00:00,5.45,3.09
2021-01-03 16:00:00,0.0,2.65
2021-01-03 17:00:00,0.0,2.34
2021-01-03 18:00:00,0.0,2.27
