Latitude (decimal degrees):	49.418
Longitude (decimal degrees):	2.826
Elevation (m):	43
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,7.52,2.62,0.0
20050101:0110,0.0,0.0,7.27,2.69,0.0
20050101:0210,0.0,0.0,7.01,2.55,0.0
20050101:0310,0.0,0.0,6.8,2.28,0.0
20050101:0410,0.0,0.0,6.58,2.14,0.0
20050101:0510,0.0,0.0,6.12,2.21,0.0
20050101:0610,0.0,0.0,5.74,2.34,0.0
20050101:0710,0.0,0.0,5.46,2.28,0.0
20050101:0810,0.0,0.0,4.82,2.34,0.0
20050101:0910,29.0,9.19,5.41,2.28,0.0
20050101:1010,60.0,14.15,6.2,2.69,0.0
20050101:1110,63.0,16.99,6.98,2.83,0.0
20050101:1210,81.0,17.45,7.73,3.24,0.0
20050101:1310,123.0,15.48,8.38,3.66,0.0
20050101:1410,74.0,11.27,8.6,3.59,0.0
20050101:1510,41.37,5.19,9.11,3.93,0.0
20050101:1610,0.0,0.0,8.94,4.0,0.0
20050101:1710,0.0,0.0,8.59,4.76,0.0
20050101:1810,0.0,0.0,9.17,5.66,0.0
20050101:1910,0.0,0.0,10.23,6.41,0.0
20050101:2010,0.0,0.0,10.41,6.62,0.0
20050101:2110,0.0,0.0,10.33,6.69,0.0
20050101:2210,0.0,0.0,10.27,6.69,0.0
20050101:2310,0.0,0.0,10.16,6.55,0.0
20050102:0010,0.0,0.0,9.84,6.14,0.0
20050102:0110,0.0,0.0,8.9,5.38,0.0
20050102:0210,0.0,0.0,8.13,5.1,0.0
20050102:0310,0.0,0.0,7.21,5.31,0.0
20050102:0410,0.0,0.0,6.78,4.83,0.0
20050102:0510,0.0,0.0,6.08,4.69,0.0
20050102:0610,0.0,0.0,5.88,4.34,0.0
20050102:0710,0.0,0.0,5.33,4.21,0.0
20050102:0810,0.0,0.0,4.96,4.0,0.0
20050102:0910,59.0,9.23,5.03,4.0,0.0
20050102:1010,204.01,14.2,5.55,3.93,0.0
20050102:1110,251.01,17.07,6.44,4.55,0.0
20050102:1210,285.01,17.54,7.08,5.59,0.0
20050102:1310,153.0,15.59,7.29,5.17,0.0
20050102:1410,93.0,11.39,7.32,4.55,0.0
20050102:1510,63.83,5.32,7.1,4.34,0.0
20050102:1610,0.0,0.0,6.25,4.07,0.0
20050102:1710,0.0,0.0,5.41,3.79,0.0
20050102:1810,0.0,0.0,4.91,3.66,0.0
20050102:1910,0.0,0.0,4.38,4.21,0.0
20050102:2010,0.0,0.0,4.28,4.07,0.0
20050102:2110,0.0,0.0,3.98,3.86,0.0
20050102:2210,0.0,0.0,3.8,3.66,0.0
20050102:2310,0.0,0.0,3.25,3.52,0.0
20050103:0010,0.0,0.0,3.05,3.38,0.0
20050103:0110,0.0,0.0,2.87,3.24,0.0
20050103:0210,0.0,0.0,2.82,3.1,0.0
20050103:0310,0.0,0.0,2.76,3.03,0.0
20050103:0410,0.0,0.0,2.92,3.1,0.0
20050103:0510,0.0,0.0,2.75,3.1,0.0
20050103:0610,0.0,0.0,2.71,3.24,0.0
20050103:0710,0.0,0.0,2.71,3.31,0.0
20050103:0810,0.0,0.0,3.19,3.38,0.0
20050103:0910,59.0,9.27,4.12,3.59,0.0
20050103:1010,139.0,14.26,5.43,3.45,0.0
20050103:1110,130.0,17.15,6.73,4.0,0.0
20050103:1210,276.01,17.64,7.86,4.28,0.0
20050103:1310,196.01,15.7,8.57,4.9,0.0
20050103:1410,167.01,11.52,8.83,4.21,0.0
20050103:1510,9.0,5.45,8.6,3.79,0.0
20050103:1610,0.0,0.0,8.01,3.66,0.0
20050103:1710,0.0,0.0,7.52,3.72,0.0
20050103:1810,0.0,0.0,7.14,3.86,0.0
20050103:1910,0.0,0.0,7.48,3.86,0.0
20050103:2010,0.0,0.0,7.63,4.34,0.0
20050103:2110,0.0,0.0,7.44,4.48,0.0
20050103:2210,0.0,0.0,7.06,4.34,0.0
20050103:2310,0.0,0.0,6.45,4.14,0.0
20050104:0010,0.0,0.0,5.48,4.0,0.0
20050104:0110,0.0,0.0,4.64,3.86,0.0
20050104:0210,0.0,0.0,3.76,3.79,0.0
20050104:0310,0.0,0.0,3.33,3.79,0.0
20050104:0410,0.0,0.0,3.1,4.0,0.0
20050104:0510,0.0,0.0,2.9,4.14,0.0
20050104:0610,0.0,0.0,2.74,4.28,0.0
20050104:0710,0.0,0.0,3.25,4.97,0.0
20050104:0810,0.0,0.0,3.33,4.97,0.0
20050104:0910,47.0,9.31,3.6,5.1,0.0
20050104:1010,83.0,14.33,3.92,5.03,0.0
20050104:1110,157.0,17.23,4.52,5.03,0.0
20050104:1210,281.01,17.75,5.17,4.76,0.0
20050104:1310,263.01,15.82,5.84,4.69,0.0
20050104:1410,189.01,11.65,6.24,4.48,0.0
20050104:1510,75.96,5.59,5.96,4.07,0.0
20050104:1610,0.0,0.0,5.04,3.86,0.0
20050104:1710,0.0,0.0,4.25,3.79,0.0
20050104:1810,0.0,0.0,4.0,3.86,0.0
20050104:1910,0.0,0.0,3.92,4.21,0.0
20050104:2010,0.0,0.0,3.81,4.14,0.0
20050104:2110,0.0,0.0,3.86,4.07,0.0
20050104:2210,0.0,0.0,4.22,4.28,0.0
20050104:2310,0.0,0.0,4.4,4.41,0.0
20050105:0010,0.0,0.0,4.72,4.48,0.0
20050105:0110,0.0,0.0,5.17,4.28,0.0
20050105:0210,0.0,0.0,5.59,4.0,0.0
20050105:0310,0.0,0.0,5.89,3.93,0.0
20050105:0410,0.0,0.0,6.12,3.79,0.0
20050105:0510,0.0,0.0,6.32,3.52,0.0
20050105:0610,0.0,0.0,6.45,3.31,0.0
20050105:0710,0.0,0.0,6.38,2.97,0.0
20050105:0810,0.0,0.0,6.39,2.97,0.0
20050105:0910,60.0,9.37,6.58,3.03,0.0
20050105:1010,17.0,14.4,6.92,3.45,0.0
20050105:1110,61.0,17.33,7.37,3.66,0.0
20050105:1210,56.0,17.86,7.8,3.72,0.0
20050105:1310,59.0,15.95,8.29,3.93,0.0
20050105:1410,77.0,11.79,8.75,4.14,0.0
20050105:1510,29.0,5.73,8.75,3.72,0.0
20050105:1610,0.0,0.0,8.57,3.17,0.0
20050105:1710,0.0,0.0,8.37,2.69,0.0
20050105:1810,0.0,0.0,8.18,2.48,0.0
20050105:1910,0.0,0.0,7.71,2.41,0.0
20050105:2010,0.0,0.0,7.81,2.9,0.0
20050105:2110,0.0,0.0,7.95,3.72,0.0
20050105:2210,0.0,0.0,8.02,4.55,0.0
20050105:2310,0.0,0.0,7.79,5.17,0.0
20050106:0010,0.0,0.0,7.35,5.24,0.0
20050106:0110,0.0,0.0,7.49,5.52,0.0
20050106:0210,0.0,0.0,7.84,5.31,0.0
20050106:0310,0.0,0.0,7.58,4.9,0.0
20050106:0410,0.0,0.0,7.38,4.34,0.0
20050106:0510,0.0,0.0,7.05,3.79,0.0
20050106:0610,0.0,0.0,6.97,3.52,0.0
20050106:0710,0.0,0.0,6.72,2.97,0.0
20050106:0810,0.0,0.0,6.54,2.97,0.0
20050106:0910,55.0,9.43,6.91,3.03,0.0
